Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
3,102,PIT,Alex Highsmith,LB,23,2023,0,0,2,26,26,66,HighAl02,2020
3,103,PHI,Davion Taylor,LB,22,2021,0,0,0,3,3,21,TaylDa01,2020
3,104,LAR,Terrell Burgess,S,21,2023,0,0,0,3,2,43,BurgTe00,2020
3,105,NOR,Adam Trautman,TE,23,2023,0,0,1,7,6,60,TrauAd00,2020
3,106,BAL,Tyre Phillips,T,23,2023,0,0,0,11,6,44,PhilTy00,2020
4,107,CIN,Akeem Davis-Gaither,LB,22,2023,0,0,0,6,6,54,DaviAk01,2020
4,108,WAS,Saahdiq Charles,T,21,2023,0,0,0,8,8,35,CharSa00,2020
4,109,OAK,John Simpson,G,23,2023,0,0,1,17,9,52,SimpJo00,2020
4,110,NYG,Darnay Holmes,CB,22,2023,0,0,0,7,7,54,HolmDa01,2020
4,111,MIA,Solomon Kindley,G,23,2021,0,0,1,6,6,29,KindSo00,2020
4,112,LAC,Joshua Kelley,RB,22,2023,0,0,0,9,9,54,KellJo01,2020
4,113,CAR,Troy Pride Jr.,CB,22,2023,0,0,0,3,3,15,PridTr00,2020
4,114,ARI,Leki Fotu,DT,22,2023,0,0,1,10,10,56,FotuLe00,2020
4,115,CLE,Harrison Bryant,TE,22,2023,0,0,2,7,7,65,BryaHa00,2020
4,116,JAX,Ben Bartch,G,22,2023,0,0,1,8,8,46,BartBe00,2020
4,117,MIN,D.J. Wonnum,DE,22,2023,0,0,1,17,17,62,WonnDJ00,2020
4,118,DEN,Albert Okwuegbunam,TE,22,2023,0,0,0,5,5,30,OkwuAl00,2020
4,119,ATL,Mykal Walker,LB,23,2023,0,0,2,13,11,57,WalkMy00,2020
4,120,NYJ,La'Mical Perine,RB,22,2023,0,0,0,3,2,17,PeriLa00,2020
4,121,DET,Logan Stenberg,G,23,2022,0,0,0,3,3,25,StenLo00,2020
4,122,IND,Jacob Eason,QB,22,2022,0,0,0,0,0,2,EasoJa00,2020
4,123,DAL,Reggie Robinson II,CB,23,2020,0,0,0,0,0,5,RobiRe00,2020
4,124,PIT,Anthony McFarland Jr.,RB,21,2023,0,0,0,1,1,17,McFaAn00,2020
4,125,NYJ,James Morgan,QB,23,,0,0,0,0,0,,MorgJa00,2020
4,126,HOU,Charlie Heck,T,23,2023,0,0,1,10,10,41,HeckCh00,2020
4,127,PHI,K'Von Wallace,S,23,2023,0,0,0,9,4,62,WallKV00,2020
4,128,BUF,Gabriel Davis,WR,21,2023,0,0,2,25,25,64,DaviGa01,2020
